Phrase,Form,Role,Type,KeyLexemes
в полученном списке,в + Sloc,место,Circum,указывать
в записке,в + Sloc,место,Circum,указать
в записке,в + Sloc,место,Circum,указывать
потом,ADV,последовательность,Circum,указать
потом,ADV,последовательность,Circum,указывать
"не видя никаких преступников , но зная , что они там, на месте , где им нужно быть .]]",Vger,мотивировка,Circum,указать
"не видя никаких преступников , но зная , что они там, на месте , где им нужно быть .]]",Vger,мотивировка,Circum,указывать
как на важнейший объект.,как + Sx,сравнение,Circum,указать
как на важнейший объект.,как + Sx,сравнение,Circum,указывать
бы,PART,сослаг.,Gram,укладывать
бы,PART,сослаг.,Gram,уложить
тогда,ADV,время,Circum,укладывать
тогда,ADV,время,Circum,уложить
дома,ADV,место,Circum,укладывать
дома,ADV,место,Circum,уложить
мог,V,возможность,Control,укладывать
мог,V,возможность,Control,уложить
рано,ADV,время,Circum,укладывать
рано,ADV,время,Circum,уложить
наконец,PARENTH,дискурс,Modal,укладывать
наконец,PARENTH,дискурс,Modal,уложить
достаточно,PRAEDIC,,Control,укладывать
достаточно,PRAEDIC,,Control,уложить
плотно,ADV,образ действия,Circum,укладывать
плотно,ADV,образ действия,Circum,уложить
страхуя зеркало подушками,Vger,сопутствующая ситуация,Circum,укладывать
страхуя зеркало подушками,Vger,сопутствующая ситуация,Circum,уложить
перед посевом,перед + Sins,время,Circum,укладывать
перед посевом,перед + Sins,время,Circum,уложить
не,PART,отрицание,Modal,укладывать
не,PART,отрицание,Modal,уложить
чтобы,CONJ,цель,Circum,укрепить
чтобы,CONJ,цель,Circum,укреплять
снова,ADV,узуальность,Circum,укрепить
снова,ADV,узуальность,Circum,укреплять
хочешь,V,воля,Control,укрепить
хочешь,V,воля,Control,укреплять
необходимо,PRAEDIC,необходимость,Control,укрепить
необходимо,PRAEDIC,необходимость,Control,укреплять
невозможности,S,возможность,Control,укрепить
невозможности,S,возможность,Control,укреплять
можно,PRAEDIC,возможность,Control,укрепить
можно,PRAEDIC,возможность,Control,укреплять
"знал, как",V,ментальный,Control,укрепить
"знал, как",V,ментальный,Control,укреплять
кое-где,ADV,место,Circum,укрепить
кое-где,ADV,место,Circum,укреплять
нельзя,PRAEDIC,запрет,Control,укрепить
нельзя,PRAEDIC,запрет,Control,укреплять
невозможно,PRAEDIC,возможность,Control,укрепить
невозможно,PRAEDIC,возможность,Control,укреплять
хорошо,ADV,степень,Circum,укрепить
хорошо,ADV,степень,Circum,укреплять
помог,V,помощь,Control,укрепить
помог,V,помощь,Control,укреплять
вертикально,ADV,аспект,Circum,укрепить
вертикально,ADV,аспект,Circum,укреплять
сильно,ADV,степень,Circum,укрепить
сильно,ADV,степень,Circum,укреплять
дабы,CONJ,цель,Circum,укрепить
дабы,CONJ,цель,Circum,укреплять
силою,Sins,способ,Circum,укрепить
силою,Sins,способ,Circum,укреплять
должна быть,Abrev,необходимость,Control,укрепить
должна быть,Abrev,необходимость,Control,укреплять
удастся,Vimpers,успех,Control,укрепить
удастся,Vimpers,успех,Control,укреплять
сейчас,ADV,время,Circum,укрепить
сейчас,ADV,время,Circum,укреплять
пришла пора,S,,Control,укрепить
пришла пора,S,,Control,укреплять
заметно,ADV,степень,Circum,укрепить
заметно,ADV,степень,Circum,укреплять
даже,PART,фокус,Modal,укрепить
даже,PART,фокус,Modal,укреплять
хотим,V,воля,Control,укрепить
хотим,V,воля,Control,укреплять
должны,Abrev,необходимость,Control,укрепить
должны,Abrev,необходимость,Control,укреплять
навсегда,ADV,узуальность,Circum,укрепить
навсегда,ADV,узуальность,Circum,укреплять
ещё больше,ADV,степень,Circum,укрепить
ещё больше,ADV,степень,Circum,укреплять
шарнирно,ADV,способ,Circum,укрепить
шарнирно,ADV,способ,Circum,укреплять
получше,ADV,степень,Circum,укрепить
получше,ADV,степень,Circum,укреплять
бы,PART,сослаг.,Gram,укрепить
бы,PART,сослаг.,Gram,укреплять
вам,Sdat,бенефициант,Circum,укрепить
вам,Sdat,бенефициант,Circum,укреплять
собиралась,V,планирование,Control,укрепить
собиралась,V,планирование,Control,укреплять
больше,ADV,степень,Circum,укрепить
больше,ADV,степень,Circum,укреплять
вместе,ADV,комитатив,Circum,умереть
вместе,ADV,комитатив,Circum,умирать
по-вашему,PARENTH,цитация,Modal,умереть
по-вашему,PARENTH,цитация,Modal,умирать
а,CONJ,,Modal,умереть
а,CONJ,,Modal,умирать
неужели,PART,неожиданность,Modal,умереть
неужели,PART,неожиданность,Modal,умирать
через два часа,через + Sacc,время,Circum,умереть
через два часа,через + Sacc,время,Circum,умирать
давно,ADV,длительность,Circum,умереть
давно,ADV,длительность,Circum,умирать
на днях,на + Sloc ,момент наступления события,Circum,умереть
на днях,на + Sloc ,момент наступления события,Circum,умирать
сумели,V,достижение цели,Control,умереть
сумели,V,достижение цели,Control,умирать
не,PART,отрицание,Modal,умереть
не,PART,отрицание,Modal,умирать
должен буду,Abrev,необходимость,Control,умереть
должен буду,Abrev,необходимость,Control,умирать
по вполне естественным причинам,по + Sdat,мотивировка,Circum,умереть
по вполне естественным причинам,по + Sdat,мотивировка,Circum,умирать
лучше,PART,,Modal,умереть
лучше,PART,,Modal,умирать
помню,PARENTH,точность,Modal,умереть
помню,PARENTH,точность,Modal,умирать
в блокаду,в + Sacc,время,Circum,умереть
в блокаду,в + Sacc,время,Circum,умирать
в крещенские морозы,в + Sacc,время,Circum,умереть
в крещенские морозы,в + Sacc,время,Circum,умирать
как следует,как + Sx,оценка,Circum,умереть
как следует,как + Sx,оценка,Circum,умирать
-то,PART,,Modal,умереть
-то,PART,,Modal,умирать
давно,ADV,время,Circum,умереть
давно,ADV,время,Circum,умирать
при ленине,при + Sloc,время,Circum,умереть
при ленине,при + Sloc,время,Circum,умирать
не страшно,PRAEDIC,эмоция,Control,умереть
не страшно,PRAEDIC,эмоция,Control,умирать
без всякой пользы для себя и моего дела,без + Sgen,цель,Circum,умереть
без всякой пользы для себя и моего дела,без + Sgen,цель,Circum,умирать
в день шестидесятилетия своей свадьбы,в + Sacc,время,Circum,умереть
в день шестидесятилетия своей свадьбы,в + Sacc,время,Circum,умирать
может быть,PARENTH,предположение,Modal,умереть
может быть,PARENTH,предположение,Modal,умирать
без боли и мучений,без + Sgen,образ действия,Circum,умереть
без боли и мучений,без + Sgen,образ действия,Circum,умирать
для всей вселенной,для + Sgen,детерминант,Circum,умереть
для всей вселенной,для + Sgen,детерминант,Circum,умирать
спокойно,ADV,образ действия,Circum,умереть
спокойно,ADV,образ действия,Circum,умирать
без разрешительной молитвы и без причащения,без + Sgen,комитатив,Circum,умереть
без разрешительной молитвы и без причащения,без + Sgen,комитатив,Circum,умирать
молодым,Ains,депиктив,Circum,умереть
молодым,Ains,депиктив,Circum,умирать
холостым,Ains,депиктив,Circum,умереть
холостым,Ains,депиктив,Circum,умирать
лучше,PRAEDIC,,Control,умереть
лучше,PRAEDIC,,Control,умирать
если,CONJ,условие,Modal,умереть
если,CONJ,условие,Modal,умирать
на руках моих,на + Sloc ,субъект восприятия,Circum,умереть
на руках моих,на + Sloc ,субъект восприятия,Circum,умирать
прежде,ADV,время,Circum,умереть
прежде,ADV,время,Circum,умирать
скоро,ADV,время наступления,Circum,умереть
скоро,ADV,время наступления,Circum,умирать
чистым,Ains,депиктив,Circum,умереть
чистым,Ains,депиктив,Circum,умирать
нынешней зимой,Sins,время,Circum,умереть
нынешней зимой,Sins,время,Circum,умирать
в клинике первого мгу месяцев через девять после появления воланда в москве ...,в + Sloc,место,Circum,умереть
в клинике первого мгу месяцев через девять после появления воланда в москве ...,в + Sloc,место,Circum,умирать
готова,Abrev,план,Control,умереть
готова,Abrev,план,Control,умирать
"в тот момент , когда фею перестали исполнять ульяна лопаткина и ирма ниорадзе",в + Sacc,время,Circum,умереть
"в тот момент , когда фею перестали исполнять ульяна лопаткина и ирма ниорадзе",в + Sacc,время,Circum,умирать
тоже,PART,тождество,Modal,уметь
надо,PRAEDIC,необходимость,Control,уметь
не,PART,отрицание,Modal,уметь
только,PART,ограничит.,Modal,уметь
бы,PART,сослаг.,Modal,уметь
нужно,PRAEDIC,необходимость,Control,уметь
как,ADV,образ действия,Circum,управлять
всё-таки,PART,уступка,Modal,управлять
должен,Abrev,внешняя необходимость,Control,управлять
хочет,Vpraes,воля,Control,управлять
может,Vpraes,возможность,Control,управлять
будет,Vfut,буд.,Gram,управлять
научиться,Vinf,,Control,управлять
позволяет,Vpraes,позволение,Control,управлять
можно,PRAEDIC,возможность,Control,управлять
просто,PART,,Modal,успевать
просто,PART,,Modal,успеть
не,PART,отрицание,Modal,успевать
не,PART,отрицание,Modal,успеть
тоже,PART,тождество,Modal,успевать
тоже,PART,тождество,Modal,успеть
уже,ADV,,Modal,успевать
уже,ADV,,Modal,успеть
ещё,ADV,,Modal,успевать
ещё,ADV,,Modal,успеть
как,ADV,способ,Circum,успевать
как,ADV,способ,Circum,успеть
видимо,PARENTH,точность,Modal,успевать
видимо,PARENTH,точность,Modal,успеть
за дорогу,за + Sacc,фоновая ситуация,Circum,успевать
за дорогу,за + Sacc,фоновая ситуация,Circum,успеть
за десять лет,за + Sacc,срок,Circum,успевать
за десять лет,за + Sacc,срок,Circum,успеть
до вечера,до + Sgen,длительность - предел,Circum,успокаиваться
до вечера,до + Sgen,длительность - предел,Circum,успокоиться
как-то,ADV,степень,Circum,успокаиваться
как-то,ADV,степень,Circum,успокоиться
мог,V,возможность,Control,успокаиваться
мог,V,возможность,Control,успокоиться
"внезапно,",ADV,неожиданность,Circum,успокаиваться
"внезапно,",ADV,неожиданность,Circum,успокоиться
хоть мало-мальски,ADV,степень,Circum,успокаиваться
хоть мало-мальски,ADV,степень,Circum,успокоиться
вместе со всеми,вместе + с + Sins,комитатив,Circum,успокаиваться
вместе со всеми,вместе + с + Sins,комитатив,Circum,успокоиться
тотчас же,ADV,одновременность,Circum,успокаиваться
тотчас же,ADV,одновременность,Circum,успокоиться
не,PART,отрицание,Modal,успокаиваться
не,PART,отрицание,Modal,успокоиться
в сетке,в + Sloc,место,Circum,успокаиваться
в сетке,в + Sloc,место,Circum,успокоиться
теперь,ADVPRO,время,Circum,успокаиваться
теперь,ADVPRO,время,Circum,успокоиться
только к утру,к + Sdat,время - предел,Circum,успокаиваться
только к утру,к + Sdat,время - предел,Circum,успокоиться
вдруг,ADV,неожиданность,Circum,успокаиваться
вдруг,ADV,неожиданность,Circum,успокоиться
наконец,PARENTH,дискурс,Circum,успокаиваться
наконец,PARENTH,дискурс,Circum,успокоиться
к концу ужина,к + Sdat,время - предел,Circum,успокаиваться
к концу ужина,к + Sdat,время - предел,Circum,успокоиться
должна была,Abrev,необходимость,Control,успокаиваться
должна была,Abrev,необходимость,Control,успокоиться
потом,ADV,последовательность,Circum,успокаиваться
потом,ADV,последовательность,Circum,успокоиться
сразу,ADV,время наступления,Circum,успокаиваться
сразу,ADV,время наступления,Circum,успокоиться
почти,ADV,точность,Circum,успокаиваться
почти,ADV,точность,Circum,успокоиться
сейчас же,ADV,одновременность,Circum,успокаиваться
сейчас же,ADV,одновременность,Circum,успокоиться
не даём,Vpraes,позволение,Control,успокаиваться
не даём,Vpraes,позволение,Control,успокоиться
видимо,PARENTH,точность,Modal,успокаиваться
видимо,PARENTH,точность,Modal,успокоиться
постепенно,ADV,скорость,Circum,успокаиваться
постепенно,ADV,скорость,Circum,успокоиться
чуть-чуть,ADV,степень,Circum,успокаиваться
чуть-чуть,ADV,степень,Circum,успокоиться
слегка,ADV,степень,Circum,успокаиваться
слегка,ADV,степень,Circum,успокоиться
немножко,ADV,степень,Circum,успокаиваться
немножко,ADV,степень,Circum,успокоиться
немного,ADV,степень,Circum,успокаиваться
немного,ADV,степень,Circum,успокоиться
не может,V,возможность,Control,успокаиваться
не может,V,возможность,Control,успокоиться
в одно мгновение,в + Sacc,длительность,Circum,успокаиваться
в одно мгновение,в + Sacc,длительность,Circum,успокоиться
вновь и вновь,ADV,узуальность,Circum,успокаиваться
вновь и вновь,ADV,узуальность,Circum,успокоиться
ещё на 4 года,на + Sacc,срок,Circum,успокаиваться
ещё на 4 года,на + Sacc,срок,Circum,успокоиться
маленько,ADV,степень,Circum,успокаиваться
маленько,ADV,степень,Circum,успокоиться
призывом,S,речь,Control,успокаиваться
призывом,S,речь,Control,успокоиться
скоро,ADV,время,Circum,успокаиваться
скоро,ADV,время,Circum,успокоиться
сразу,ADV,одновременность,Circum,успокаиваться
сразу,ADV,одновременность,Circum,успокоиться
можешь,Vpraes,возможность,Control,успокоиться
только тогда,ADV,время,Circum,успокоиться
нужно,PRAEDIC,необходимость,Control,устанавливать
нужно,PRAEDIC,необходимость,Control,установить
могут быть,Vinf,возможность,Control,устанавливать
могут быть,Vinf,возможность,Control,установить
средь зелёной поляны,среди + Sgen,место,Circum,устанавливать
средь зелёной поляны,среди + Sgen,место,Circum,установить
можно,PRAEDIC,возможность,Control,устанавливать
можно,PRAEDIC,возможность,Control,установить
не,PART,отрицание,Modal,устанавливать
не,PART,отрицание,Modal,установить
также,PART,тождество,Modal,устанавливать
также,PART,тождество,Modal,установить
по желанию покупателя,по + Sdat,основание,Circum,устанавливать
по желанию покупателя,по + Sdat,основание,Circum,установить
должны были,Abrev,внешняя необходимость,Control,устанавливать
должны были,Abrev,внешняя необходимость,Control,установить
тем самым,Sins,дискурс,Circum,устанавливать
тем самым,Sins,дискурс,Circum,установить
теперь,ADV,время,Circum,утешать
теперь,ADV,время,Circum,утешить
как-нибудь,ADV,время,Circum,уточнить
как-нибудь,ADV,время,Circum,уточнять
ещё,ADV,,Modal,уточнить
ещё,ADV,,Modal,уточнять
не,PART,отрицание,Modal,уточнить
не,PART,отрицание,Modal,уточнять
надо,PRAEDIC,необходимость,Control,уточнить
надо,PRAEDIC,необходимость,Control,уточнять
необходимо,PRAEDIC,необходимость,Control,уточнить
необходимо,PRAEDIC,необходимость,Control,уточнять
предлагается,Vimpers,,Control,уточнить
предлагается,Vimpers,,Control,уточнять
отказался,V,речь,Control,уточнить
отказался,V,речь,Control,уточнять
быстро,ADV,скорость,Circum,уточнить
быстро,ADV,скорость,Circum,уточнять
про себя,про + Sacc,образ действия,Circum,уточнить
про себя,про + Sacc,образ действия,Circum,уточнять
опять,ADV,узуальность,Circum,уточнить
опять,ADV,узуальность,Circum,уточнять
должен,Abrev,внешняя необходимость,Control,уточнить
должен,Abrev,внешняя необходимость,Control,уточнять
потом,ADV,последовательность,Circum,уточнить
потом,ADV,последовательность,Circum,уточнять
начал,V,фазовый,Control,ухаживать
буду,Vfut,буд.,Gram,ухаживать
без энтузиазма,без + Sgen,эмоция,Circum,ухаживать
весь день,Sacc,длительность,Circum,ухаживать
переезжаю,Vpraes,движение,Control,ухаживать
нежно,ADV,образ действия,Circum,ухаживать
по очереди,по + Sdat,порядок,Circum,ухаживать
мечтала,V,ментальный,Control,ухаживать
может,Vpraes,возможность,Control,ухаживать
продолжая,Vger,фазовый,Control,ухаживать
не умею,Vpraes,способность,Control,ухаживать
утром,Sins,время,Circum,ухаживать
всячески,ADV,степень,Circum,ухаживать
по ночам,по + Sdat,время,Circum,ухаживать
принимался,V,фазовый,Control,ухаживать
заботливо,ADV,образ действия,Circum,ухаживать
с нежностью,с + Sins,образ действия,Circum,ухаживать
хочется,Vimpers,воля,Control,ухаживать
начинаешь,Vpraes,фазовый,Control,ухаживать
примостился,V,,Control,ухаживать
стал,V,фазовый,Control,ухаживать
деликатно и умело,ADV,оценка,Circum,ухаживать
пытался,V,попытка,Control,ухаживать
не мог,V,возможность,Control,ухаживать
умеет,Vpraes,способность,Control,ухаживать
начинает,Vpraes,фазовый,Control,ухаживать
слегка,ADV,степень,Circum,ухаживать
давно,ADV,время,Circum,ухаживать
так влюбленно и самодовольно,ADV,мотивировка,Circum,ухаживать
пробовали,V,попытка,Control,ухаживать
по обязанности,по + Sdat,мотивировка,Circum,ухаживать
там,ADV,место,Circum,ухаживать
напрямую,ADV,степень,Circum,участвовать
в пионерском лагере,в + Sloc,место,Circum,участвовать
сколь активно,ADV,интенсивность,Circum,участвовать
активно,ADV,степень,Circum,участвовать
в марте того же года,в + Sloc,время,Circum,участвовать
только второй год,Sacc,узуальность,Circum,участвовать
непременно,ADV,узуальность,Circum,участвовать
таким образом,Sins,вводное,Modal,участвовать
достаточно активно,ADV,интенсивность,Circum,участвовать
и,PART,усиление,Modal,участвовать
как выяснилось,CL,вводное,Modal,участвовать
не мог,V,возможность,Control,участвовать
ли,PART,косв.,Modal,участвовать
никак не мог,V,возможность,Control,участвовать
даже,ADV,усиление,Modal,участвовать
чтобы поддержать крестьян,чтобы + Vinf,цель,Circum,участвовать
разве,PART,вопросит.,Modal,учить
как проснулся,как + CL,последовательность,Circum,учить
"так , как она приемлема для современного человека",ADV,образ действия,Circum,учить
надо,PRAEDIC,внешняя необходимость,Control,учить
в авиационном институте,в + Sloc,место,Circum,учиться
хотя,CONJ,уступка,Modal,учиться
с ними,с + Sins,комитатив,Circum,учиться
всё-таки,PART,уступка,Modal,учиться
"по "" заготовкам "" системы leonardo",по + Sdat,основание,Circum,формировать
динамически,ADV,образ действия,Circum,формировать
в настоящее время,в + Sacc,время,Circum,формировать
в нём,в + Sloc,место,Circum,формировать
повседневно,ADV,узуальность,Circum,формировать
для каждого цвета в отдельности,для + Sgen,цель,Circum,формировать
должна,Abrev,внешняя необходимость,Control,формировать
частично,ADV,охват,Circum,формировать
с одной стороны,с + Sins,дискурс,Modal,формировать
реально,ADV,непосредственность,Circum,формировать
на 40- 50%,на + Sacc,предел,Circum,формировать
заранее,ADV,время,Circum,формировать
с другой стороны,с + Sins,дискурс,Modal,формировать
во-первых,PARENTH,дискурс,Circum,формировать
сегодня,ADV,время,Circum,формировать
в человеке,в + Sloc,место,Circum,формировать
вместе с хлоритом и магнетитом,вместе + с + Sins,комитатив,Circum,формировать
как правило,как + Sx,точность,Circum,формировать
"в результате воздействия большого количества независимых элементарных факторов , ни один из которых не доминирует",в + Sloc,причина,Circum,формировать
"под не всегда оправданное "" специальное"" ограничительное законотворчество",под + Sacc,цель,Circum,формировать
во второй ситуации,в + Sloc,время,Circum,формировать
по собственному усмотрению,по + Sdat,образ действия,Circum,формировать
в воздухе атмосферного давления,в + Sloc,место,Circum,формировать
в вакууме,в + Sloc,место,Circum,формировать
кроме того,PARENTH,противопоставление,Modal,формировать
обоснованно,ADV,основание,Circum,формировать
на совете партии,на + Sloc ,место,Circum,формировать
необходимо,PRAEDIC,необходимость,Control,формировать
уже,ADV,,Modal,формировать
ведь,PART,дискурс,Modal,формировать
буквально,ADV,точность,Circum,хлестать
как говорится,PARENTH,точность,Modal,хлестать
больше всех,ADV,интенсивность,Circum,хлопотать
вовсю,ADV,степень,Circum,хлопотать
и тут,ADV,,Circum,хлопотать
уже,ADV,,Circum,хлопотать
с рюмкой успокоительного,с + Sins,комитатив,Circum,хлопотать
всё время,Sacc,узуальность,Circum,хлопотать
усердно,ADV,интенсивность,Circum,хлопотать
"по "" тому "" телефону",по + Sdat,способ,Circum,хлопотать
нечего,PRAEDIC,цель,Control,хлопотать
сейчас,ADV,время,Circum,хлопотать
из чего,из + Sgen,причина,Circum,хлопотать
из чего же,из + Sgen,причина,Circum,хлопотать
не люблю,Vpraes,,Control,хлопотать
в австралийских министерствах,в + Sloc,место,Circum,хлопотать
начали,V,фазовый,Control,хлопотать
неутомимо,ADV,интенсивность,Circum,хлопотать
берусь,Vpraes,намерение,Control,хлопотать
здесь,ADV,место,Circum,хлопотать
принялся,V,фазовый,Control,хлопотать
на кухню,на + Sacc,конечная точка,Circum,хлопотать
до ночи,до + Sgen,время — предел,Circum,хлопотать
не стоит,Vimpers,целесообразность,Modal,хлопотать
не надо было бы,PRAEDIC,внешняя необходимость,Modal,хлопотать
так,ADV,степень,Circum,хлопотать
со страшной силой,с + Sins,степень,Circum,хлопотать
каждый со своей стороны,с + Sgen,образ действия,Circum,хлопотать
зачем,ADV,причина,Circum,ходить
переваливаясь с ноги на ногу,Vger,образ действия,Circum,ходить
сейчас,ADV,время,Circum,ходить
отбиваясь палкой от собак,Vger,сопутствующая ситуация,Circum,ходить
"бормоча: ""в доме помешанного не говорят о жировке, в доме повешенного...""",Vger,сопутствующая ситуация,Circum,ходить
можно,PRAEDIC,возможность,Control,ходить
надоело,Vimpers,,Control,ходить
ещё с прошлой осени,с + Sgen,время,Circum,ходить
десять лет,Sacc,длительность,Circum,ходить
сама,APRO,самостоятельность,Circum,ходить
"будто какой-нибудь командир взвода , а не работник центрального штаба",будто + Sx,сравнение,Circum,ходить
" подчеркнуто, на публику ",ADV,прямая речь,Circum,ходить
всё лето,Sacc,длительность,Circum,цвести
в июне,в + Sloc,время,Circum,цвести
непрерывно,ADV,узуальность,Circum,цвести
сначала,ADV,фаза,Circum,цвести
густо,ADV,образ действия,Circum,цвести
где,ADV,место,Circum,цвести
здесь,ADV,место,Circum,цвести
снова,ADV,узуальность,Circum,цвести
на полях,на + Sloc ,место,Circum,цвести
там,ADV,место,Circum,цвести
бог весть зачем,ADV,цель,Circum,цвести
неистово,ADV,интенсивность,Circum,цвести
в горах,в + Sloc,место,Circum,цвести
уже,ADV,,Modal,цвести
в посёлке,в + Sloc,место,Circum,цвести
запоздало,ADV,,Circum,цвести
в разное время года и суток,в + Sacc,время,Circum,цвести
круглый год,Sacc,время,Circum,цвести
тоже,PART,тождество,Modal,цвести
у моего окна,у + Sgen,место,Circum,цвести
одновременно с каштаном,ADV,одновременность,Circum,цвести
до распускания листьев,до + Sgen,длительность - предел,Circum,цвести
обильно,ADV,интенсивность,Circum,цвести
в июле -- августе,в + Sloc,время,Circum,цвести
с августа по октябрь,с + Sgen по + Sacc,длительность,Circum,цвести
в июле,в + Sloc,время,Circum,цвести
в конце июня -- июле,в + Sloc,время,Circum,цвести
в августе,в + Sloc,время,Circum,цвести
в сентябре,в + Sloc,время,Circum,цвести
в июле-августе,в + Sloc,время,Circum,цвести
в августе -- сентябре,в + Sloc,время,Circum,цвести
лучше,ADV,оценка,Circum,цвести
здесь в лесах,ADV,место,Circum,цвести
когда,ADVPRO,время,Circum,цвести
среди которой,среди + Sgen,место,Circum,цвести
днесь,ADV,время,Circum,цвести
ранней весной,Sins,время,Circum,цвести
по весне,по + Sdat,время,Circum,цвести
пышно,ADV,интенсивность,Circum,цвести
не,PART,отрицание,Modal,цвести
как роза,как + Sx,сравнение,Circum,цвести
радостно,ADV,эмоция,Circum,цвести
ещё,ADV,,Modal,цвести
больше,ADV,охват,Circum,цвести
в ту пору,в + Sacc,время,Circum,цвести
в одну неделю,в + Sacc,длительность,Circum,цвести
кругом,ADV,место,Circum,цвести
около розовой беседки,около + Sgen,место,Circum,цвести
надо,PRAEDIC,необходимость,Control,цвести
уж,ADV,,Modal,цвести
на пасху,на + Sacc,время,Circum,цвести
на плотине,на + Sloc ,место,Circum,цвести
однажды,ADV,узуальность,Circum,цвести
-то,PART,,Modal,цвести
ведь,PART,дискурс,Modal,цвести
почти,ADV,точность,Circum,цвести
на пианино,на + Sloc ,место,Circum,цвести
в,PR,,Control,час
в таких процессах,в + Sloc,место,Circum,черпаться
утром,Sins,время,Circum,честить
чтобы дать проход автомашинам,чтобы + CL,цель,Circum,чистить
заботясь о потомстве,Vger,мотивировка,Circum,чистить
по живот в воде,по + Sacc,предел,Circum,чистить
сквозь,ADV,способ,Circum,чистить
медленно разъезжая с гудением,Vger,сопутствующая ситуация,Circum,чистить
затем,ADV,последовательность,Circum,чистить
дважды,Sacc,частота,Circum,чистить
на самой верхушке сосны,на + Sloc ,место,Circum,чистить
"около тэц , и у входа там в машинный зал , и в самом машинном зале , и на трапах",около + Sgen,место,Circum,чистить
уже,ADV,усиление,Modal,чистить
как раз,как + Sx,одновременность,Circum,чистить
по случаю этих процессов,по + Sdat,причина,Circum,чистить
иногда,ADV,узуальность,Circum,чистить
до наступления холодной ночи,до + Sgen,длительность - предел,Circum,чистить
просто,PART,усиление,Modal,чистить
даже на заметных кочках,на + Sloc,место,Circum,чувствоваться
даже на расстоянии от трубки,на + Sloc,расстояние,Circum,чувствоваться
всегда,ADV,узуальность,Circum,чувствоваться
вообще,PARENTH,степень,Circum,чувствоваться
тоже,PART,тождество,Circum,чувствоваться
ещё,ADV,фаза,Circum,чувствоваться
и всё же,ADV,уступка,Circum,чувствоваться
уже,ADV,,Circum,чувствоваться
нам,Sdat,бенефициант,Circum,чувствоваться
не,PART,отрицание,Modal,чувствоваться
всё же,ADV,уступка,Circum,чувствоваться
будто,PART,уподобление,Circum,чувствоваться
не меньше,ADVcomp,степень,Circum,чувствоваться
совсем иначе .,ADV,образ действия,Circum,чувствоваться
всеми,Ains,охват,Circum,чувствоваться
ещё сильней,ADVcomp,степень,Circum,чувствоваться
как-то особенно живо,ADV,образ действия,Circum,чувствоваться
где,ADV,место,Circum,чувствоваться
очень,ADV,степень,Circum,чувствоваться
даже в костях,в + Sloc,место,Circum,чувствоваться
если,CONJ,условие,Circum,чувствоваться
в атр и мире,в + Sloc,место,Circum,чувствоваться
даже сквозь рукавицу,сквозь + Sacc,препятствие,Circum,чувствоваться
ибо,CONJ,мотивировка,Circum,чувствоваться
сразу,ADV,время наступления,Circum,чувствоваться
всё-таки,PART,уступка,Circum,чувствоваться
по аплодисментам,по + Sdat,причина,Circum,чувствоваться
вот и сейчас вновь,ADV,момент времени,Circum,чувствоваться
в нём,в + Sloc,место,Circum,чувствоваться
тут же,ADV,время наступления,Circum,чувствоваться
почти,ADV,точность,Circum,чувствоваться
скорее чем виделось,ADVcomp,эвиденциальность,Circum,чувствоваться
тут явственно,ADV,звук,Circum,чувствоваться
тогда,ADVPRO,время,Circum,чувствоваться
вокруг гали и димки,вокруг + Sgen,место,Circum,шуметь
на поминках,на + Sloc ,фоновая ситуация,Circum,шуметь
кругом,ADV,место,Circum,шуметь
где-то на побережье тёплых морей,на + Sloc ,место,Circum,шуметь
это,PART,,Modal,шуметь
впереди меня,ADV,место,Circum,шуметь
где-то далеко-далеко за рощей и за крутым обрывом,ADV,место,Circum,шуметь
у берега,у + Sgen,место,Circum,шуметь
за окном,за + Sins,место,Circum,шуметь
как морская пена,как + Sx,сравнение,Circum,шуметь
не,PART,отрицание,Modal,шуметь
много,ADV,количество,Circum,шуметь
где-то,ADV,место,Circum,шуметь
вдоль её обочины,вдоль + Sgen,место,Circum,шуметь
теперь,ADVPRO,время,Circum,шуметь
потом,ADV,последовательность,Circum,щелкать
потом,ADV,последовательность,Circum,щелкнуть
полтора часа,Sacc,длительность,Circum,щелкать
полтора часа,Sacc,длительность,Circum,щелкнуть
пусть,PART,,Modal,щелкать
пусть,PART,,Modal,щелкнуть
"то поодиночке, то очередью : тра-та-та - та!",ADV,очередь,Circum,щелкать
"то поодиночке, то очередью : тра-та-та - та!",ADV,очередь,Circum,щелкнуть
торжественно,ADV,образ действия,Circum,щелкать
торжественно,ADV,образ действия,Circum,щелкнуть
в бильярдной,в + Sloc,место,Circum,щелкать
в бильярдной,в + Sloc,место,Circum,щелкнуть
в кармане,в + Sloc,место,Circum,щелкать
в кармане,в + Sloc,место,Circum,щелкнуть
опять,ADV,узуальность,Circum,щелкать
опять,ADV,узуальность,Circum,щелкнуть
шмыргая,Vger,сопутствующая ситуация,Circum,щелкать
шмыргая,Vger,сопутствующая ситуация,Circum,щелкнуть
"ну да, вот же",PART,,Modal,щелкать
"ну да, вот же",PART,,Modal,щелкнуть
почему,ADV,причина,Circum,щелкать
почему,ADV,причина,Circum,щелкнуть
где-то,ADV,место,Circum,щелкать
где-то,ADV,место,Circum,щелкнуть
как кастаньеты,как + Sx,сравнение,Circum,щелкать
как кастаньеты,как + Sx,сравнение,Circum,щелкнуть
ровно,ADV,образ действия,Circum,щелкать
ровно,ADV,образ действия,Circum,щелкнуть
